dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
phoneme,rf,PSO,8.5,0.017705757444406667,0.07590514183338039,10.317976699290725,7.5079258654158885,0.7555507346380304,0.11029803421984619,4
phoneme,rf,WOA,3.076923076923077,0.3634236202519394,0.11930194542037988,6.140273285728984,3.7411935602036737,0.47665541928430427,0.13700268701081808,13
phoneme,svm,GA,3.142857142857143,0.43180947255431196,0.1764888310963539,8.606572151079257,2.515081769986609,0.4103068103643291,0.1484757379233767,7
phoneme,svm,GWO,5.4,0.24401682061562563,0.2652386361301979,6.673416322368979,1.301403929037143,0.516968446411853,0.22020089755101882,5
phoneme,svm,PSO,5.25,0.2052828333776066,0.05981744151134171,5.8698026440137445,0.8163108685881365,0.4984771063374337,0.09052135271148133,4
phoneme,svm,WOA,2.0,0.5488484186688647,0.037511686089379374,8.382276940809932,1.0034597587502554,0.32920478078510423,0.02727909767970922,13
phoneme,xgb,GA,10.75,0.17723236749443752,0.16029909132529363,11.48934917947299,5.900471918668031,0.6299386287409445,0.13108419818102718,4
phoneme,xgb,GWO,11.4,0.06840043366908352,0.07906323013843473,17.729035729323297,8.523142690734677,0.7839866649627965,0.08137994151283595,5
phoneme,xgb,PSO,10.75,0.035466680082037086,0.10793643318197692,14.34377628327163,6.357040074122757,0.8164084229613122,0.09498074359295697,4
phoneme,xgb,WOA,3.230769230769231,0.30264696286731896,0.13495436588937837,5.321645050482976,4.242169831488069,0.5317927330437822,0.12845306430689138,13
usps_bin,rf,GA,3.0,0.05399629272044974,0.0,1.5169603443615014,2.220446049250313e-16,0.6310664964149937,0.0,5
usps_bin,rf,GWO,3.0,0.050475841330978,0.010561354168415254,1.5132601567053863,0.011100562968344925,0.6332944537799932,0.006683872094998386,9
usps_bin,rf,PSO,3.0,0.05399629272044975,0.0,1.5169603443615012,1.6784994417006302e-16,0.6310664964149937,0.0,8
usps_bin,rf,WOA,3.0,0.05399629272044975,0.0,1.5169603443615014,2.220446049250313e-16,0.6310664964149937,0.0,4
usps_bin,svm,GA,2.0,0.28224362989157625,0.0,2.7977125185313567,0.0,0.5213615774138873,0.0,2
usps_bin,svm,GWO,2.0,0.28224362989157625,0.0,2.7977125185313567,0.0,0.5213615774138873,0.0,8
usps_bin,svm,PSO,2.0,0.28224362989157625,0.0,2.7977125185313567,0.0,0.5213615774138873,0.0,9
usps_bin,svm,WOA,2.0,0.28224362989157625,0.0,2.7977125185313567,0.0,0.5213615774138873,0.0,9
usps_bin,xgb,GA,2.0,0.15016933295406712,0.0,1.8821128476334619,0.0,0.627312985458152,0.0,4
usps_bin,xgb,GWO,2.0,0.15016933295406712,0.0,1.8821128476334619,0.0,0.627312985458152,0.0,9
usps_bin,xgb,PSO,2.0,0.15016933295406712,0.0,1.8821128476334619,0.0,0.627312985458152,0.0,8
usps_bin,xgb,WOA,2.0,0.15016933295406712,0.0,1.8821128476334619,0.0,0.627312985458152,0.0,4
wdbc,rf,GA,2.0,0.204910218269028,0.0,2.5758482302950974,0.0,0.549119322894502,0.0,6
wdbc,rf,GWO,2.0,0.204910218269028,0.0,2.5758482302950974,0.0,0.549119322894502,0.0,8
wdbc,rf,PSO,2.125,0.19310717978503256,0.03338403420255591,2.5277107183099394,0.13615344461661597,0.5524111257463695,0.009310624475538687,8
wdbc,rf,WOA,2.0,0.20491021826902803,0.0,2.5758482302950974,0.0,0.549119322894502,0.0,5
wdbc,xgb,GA,3.0,0.11277843201585983,0.0,2.58323168197903,0.0,0.5402715937509598,0.0,4
wdbc,xgb,GWO,3.0,0.11277843201585983,0.0,2.58323168197903,0.0,0.5402715937509598,0.0,8
wdbc,xgb,PSO,3.0,0.11277843201585983,0.0,2.58323168197903,0.0,0.5402715937509598,0.0,5
wdbc,xgb,WOA,3.0,0.11277843201585983,0.0,2.58323168197903,0.0,0.5402715937509598,0.0,9
