,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
154,hill_valley,rf,EvoCluster_PSO,20.0,30.0,2.2,0.7701215515445945,0.01713995948774458,24.20568686178003,0.6984485927393431,0.14529413578565456,0.004150678124859626,10
155,hill_valley,rf,EvoCluster_PSO,20.0,50.0,2.4,0.7687928965019535,0.02134153564715824,24.423643100015504,0.009210449672968444,0.14456142518740564,0.0018336437686484752,10
156,hill_valley,rf,EvoCluster_PSO,50.0,30.0,2.0,0.775541682643023,0.0,24.4265556999396,0.0,0.14398157611477524,0.0,10
157,hill_valley,rf,EvoCluster_PSO,50.0,50.0,2.0,0.775541682643023,0.0,24.4265556999396,0.0,0.14398157611477524,0.0,10
158,hill_valley,rf,Meta_GWO,20.0,30.0,20.0,0.7576988387248794,0.02762772633955372,31.910819917418287,15.793569584046073,0.16050008786896133,0.0318560834193053,10
159,hill_valley,rf,Meta_GWO,20.0,50.0,20.0,0.7687928965019535,0.02134153564715824,24.423643100015504,0.009210449672966796,0.14456142518740564,0.0018336437686484772,10
160,hill_valley,rf,Meta_GWO,50.0,30.0,20.0,0.7630547736537567,0.026324715560875126,24.162385063419965,0.5569206015589969,0.14601738408999415,0.004291860053618277,10
161,hill_valley,rf,Meta_GWO,50.0,50.0,20.0,0.7687928965019535,0.021341535647158245,24.423643100015504,0.009210449672967885,0.14456142518740564,0.0018336437686484876,10
162,hill_valley,rf,Meta_PSO,20.0,30.0,20.0,0.7325339061312757,0.044993759978529765,47.22262893678975,30.101655145005367,0.19489769560698716,0.033751099423847415,10
163,hill_valley,rf,Meta_PSO,20.0,50.0,20.0,0.7609981133091616,0.02457949630039284,27.063223348347726,7.239449617034156,0.1586861259369931,0.028005922235282418,10
