dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
column,xgb,Optuna_Auto,9,PSO,37,83,4,0.2855766602987681,4.067741340452188,0.40870450423131155
column,xgb,Optuna_Auto,10,GWO,96,11,4,0.2855766602987681,4.067741340452188,0.40870450423131155
column,xgb,Optuna_Auto,11,WOA,10,57,3,0.2283952224161449,3.3058704292416925,0.4631540128105176
column,xgb,Optuna_Auto,12,WOA,60,57,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,13,WOA,29,41,3,0.2283952224161449,3.3058704292416925,0.4631540128105176
column,xgb,Optuna_Auto,14,WOA,55,70,4,0.22386134895202403,3.6897759712015326,0.4254873827743657
column,xgb,Optuna_Auto,15,WOA,63,42,4,0.22468788220224592,3.8662374470430154,0.427298557721166
column,xgb,Optuna_Auto,16,WOA,12,28,2,0.307668253822129,3.180320408913273,0.4703042934492897
column,xgb,Optuna_Auto,17,GWO,10,11,3,0.262295014289933,3.40334292238331,0.4593098133991144
column,xgb,Optuna_Auto,18,GA,72,26,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,19,WOA,32,98,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,20,WOA,43,27,4,0.22386134895202403,3.6897759712015326,0.4254873827743657
column,xgb,Optuna_Auto,21,WOA,22,48,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,22,WOA,25,33,4,0.2855766602987681,4.067741340452188,0.40870450423131155
column,xgb,Optuna_Auto,23,WOA,19,71,3,0.2283952224161449,3.3058704292416925,0.4631540128105176
column,xgb,Optuna_Auto,24,WOA,17,18,2,0.307668253822129,3.180320408913273,0.4703042934492897
column,xgb,Optuna_Auto,25,WOA,11,19,3,0.2283952224161449,3.3058704292416925,0.4631540128105176
column,xgb,Optuna_Auto,26,PSO,29,18,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,28,GWO,16,32,4,0.2855766602987681,4.067741340452188,0.4087045042313115
blood-transfusion,rf,Optuna_Auto,0,GWO,98,82,4,0.40746322421334813,8.284862676591505,0.40985516374394987
blood-transfusion,rf,Optuna_Auto,1,GWO,76,78,7,0.09609752144292995,7.403640189134303,0.4705020297885227
blood-transfusion,rf,Optuna_Auto,3,GA,84,59,5,0.37887900414064485,6.153656926720394,0.3610139574289778
blood-transfusion,rf,Optuna_Auto,4,GWO,25,41,6,0.24350076168658982,9.290865964086775,0.4596357543337173
blood-transfusion,rf,Optuna_Auto,5,GWO,87,30,5,0.37887900414064485,6.153656926720394,0.3610139574289778
blood-transfusion,rf,Optuna_Auto,6,GA,44,56,4,0.40746322421334813,8.284862676591505,0.4098551637439499
blood-transfusion,rf,Optuna_Auto,8,GA,48,28,5,0.37887900414064485,6.153656926720394,0.3610139574289778
blood-transfusion,rf,Optuna_Auto,9,GWO,96,100,6,0.21042288646981258,8.17586513139201,0.4431638978135444
blood-transfusion,rf,Optuna_Auto,10,WOA,62,12,2,0.40490006841847176,4.923329669509868,0.39582043989464905
blood-transfusion,rf,Optuna_Auto,11,PSO,45,81,6,0.21042288646981258,8.17586513139201,0.4431638978135444
blood-transfusion,rf,Optuna_Auto,12,PSO,64,77,6,0.27665926716106576,7.152638532667359,0.41281118287516844
blood-transfusion,rf,Optuna_Auto,13,WOA,12,97,5,0.37887900414064485,6.153656926720394,0.3610139574289778
blood-transfusion,rf,Optuna_Auto,15,GWO,66,89,5,0.29377690353417646,8.917407552503311,0.4443955197244994
blood-transfusion,rf,Optuna_Auto,16,WOA,98,47,5,0.37887900414064485,6.153656926720396,0.36101395742897774
blood-transfusion,rf,Optuna_Auto,17,PSO,26,67,6,0.24278788845100702,13.42249695132211,0.5016906404171054
blood-transfusion,rf,Optuna_Auto,18,GA,36,87,7,0.2506775413094354,5.8937896052779974,0.3826300389969508
